day,home team,away team
93,LA Clippers,Utah Jazz
94,Washington Wizards,New York Knicks
94,Charlotte Hornets,Sacramento Kings
94,Indiana Pacers,Philadelphia 76ers
94,Toronto Raptors,Phoenix Suns
94,Denver Nuggets,Chicago Bulls
94,Oklahoma City Thunder,Los Angeles Lakers
95,Boston Celtics,Memphis Grizzlies
95,Detroit Pistons,Miami Heat
95,Orlando Magic,Brooklyn Nets
95,Minnesota Timberwolves,San Antonio Spurs
95,Utah Jazz,Cleveland Cavaliers
95,LA Clippers,Golden State Warriors
95,Portland Trail Blazers,New Orleans Pelicans
96,Philadelphia 76ers,Oklahoma City Thunder
96,Charlotte Hornets,Phoenix Suns
96,Detroit Pistons,Sacramento Kings
96,Indiana Pacers,Dallas Mavericks
96,Orlando Magic,Milwaukee Bucks
96,Atlanta Hawks,Boston Celtics
96,Toronto Raptors,Memphis Grizzlies
96,Chicago Bulls,Miami Heat
96,Houston Rockets,Los Angeles Lakers
96,Denver Nuggets,Cleveland Cavaliers
97,Indiana Pacers,Charlotte Hornets
97,Minnesota Timberwolves,Phoenix Suns
97,San Antonio Spurs,LA Clippers
98,New York Knicks,Oklahoma City Thunder
98,Cleveland Cavaliers,Chicago Bulls
98,Washington Wizards,Detroit Pistons
98,Milwaukee Bucks,Dallas Mavericks
98,Atlanta Hawks,Orlando Magic
98,Brooklyn Nets,Sacramento Kings
98,Memphis Grizzlies,New Orleans Pelicans
98,Boston Celtics,Miami Heat
98,Philadelphia 76ers,Houston Rockets
98,Utah Jazz,Portland Trail Blazers
98,Los Angeles Lakers,Golden State Warriors
99,Toronto Raptors,Sacramento Kings
99,Oklahoma City Thunder,Portland Trail Blazers
99,Dallas Mavericks,LA Clippers
99,Phoenix Suns,Minnesota Timberwolves
100,Indiana Pacers,Toronto Raptors
100,Boston Celtics,Cleveland Cavaliers
100,Brooklyn Nets,Orlando Magic
100,Miami Heat,LA Clippers
100,New York Knicks,Houston Rockets
100,Philadelphia 76ers,San Antonio Spurs
100,Chicago Bulls,Atlanta Hawks
100,Memphis Grizzlies,Charlotte Hornets
100,New Orleans Pelicans,Detroit Pistons
100,Utah Jazz,Denver Nuggets
101,Washington Wizards,Golden State Warriors
101,Oklahoma City Thunder,New Orleans Pelicans
101,Phoenix Suns,Portland Trail Blazers
101,Los Angeles Lakers,Minnesota Timberwolves
102,Orlando Magic,Washington Wizards
102,Brooklyn Nets,New York Knicks
102,Cleveland Cavaliers,Miami Heat
102,Chicago Bulls,LA Clippers
102,Houston Rockets,Toronto Raptors
102,Memphis Grizzlies,Sacramento Kings
102,Dallas Mavericks,Detroit Pistons
102,Milwaukee Bucks,Charlotte Hornets
102,Denver Nuggets,Phoenix Suns
102,Utah Jazz,Minnesota Timberwolves
103,New Orleans Pelicans,San Antonio Spurs
103,Memphis Grizzlies,Indiana Pacers
103,Boston Celtics,Golden State Warriors
103,Denver Nuggets,Philadelphia 76ers
103,Portland Trail Blazers,Atlanta Hawks
104,Chicago Bulls,Cleveland Cavaliers
104,LA Clippers,Sacramento Kings
104,Oklahoma City Thunder,Milwaukee Bucks
104,Houston Rockets,Orlando Magic
104,Dallas Mavericks,Toronto Raptors
104,Minnesota Timberwolves,Utah Jazz
104,San Antonio Spurs,Washington Wizards
104,New York Knicks,Miami Heat
104,Los Angeles Lakers,Phoenix Suns
105,Charlotte Hornets,New York Knicks
105,Indiana Pacers,Golden State Warriors
105,Boston Celtics,Brooklyn Nets
105,Memphis Grizzlies,Denver Nuggets
105,LA Clippers,Atlanta Hawks
106,Cleveland Cavaliers,Washington Wizards
106,Detroit Pistons,Milwaukee Bucks
106,Orlando Magic,Oklahoma City Thunder
106,Brooklyn Nets,Chicago Bulls
106,Houston Rockets,New Orleans Pelicans
106,San Antonio Spurs,Phoenix Suns
106,Los Angeles Lakers,Philadelphia 76ers
107,Boston Celtics,Charlotte Hornets
107,Miami Heat,Chicago Bulls
107,New York Knicks,Dallas Mavericks
107,Washington Wizards,Indiana Pacers
107,Minnesota Timberwolves,Memphis Grizzlies
107,New Orleans Pelicans,Denver Nuggets
107,Sacramento Kings,Atlanta Hawks
107,Portland Trail Blazers,Utah Jazz
108,Detroit Pistons,Dallas Mavericks
108,Orlando Magic,Indiana Pacers
108,Toronto Raptors,Milwaukee Bucks
108,San Antonio Spurs,Brooklyn Nets
108,Golden State Warriors,Philadelphia 76ers
108,LA Clippers,Los Angeles Lakers
109,Charlotte Hornets,Memphis Grizzlies
109,New York Knicks,Boston Celtics
109,Miami Heat,Oklahoma City Thunder
109,Utah Jazz,Atlanta Hawks
109,Denver Nuggets,Houston Rockets
110,Detroit Pistons,LA Clippers
110,Charlotte Hornets,Chicago Bulls
110,Orlando Magic,Brooklyn Nets
110,Washington Wizards,Milwaukee Bucks
110,Cleveland Cavaliers,Dallas Mavericks
110,Miami Heat,Indiana Pacers
110,San Antonio Spurs,New Orleans Pelicans
110,Golden State Warriors,Los Angeles Lakers
110,Minnesota Timberwolves,Denver Nuggets
110,Phoenix Suns,Atlanta Hawks
110,Utah Jazz,Houston Rockets
110,Sacramento Kings,Philadelphia 76ers
111,New York Knicks,Memphis Grizzlies
111,Boston Celtics,Oklahoma City Thunder
111,Toronto Raptors,LA Clippers
112,Detroit Pistons,Denver Nuggets
112,Washington Wizards,Atlanta Hawks
112,Brooklyn Nets,Milwaukee Bucks
112,New Orleans Pelicans,Indiana Pacers
112,Phoenix Suns,Houston Rockets
112,Sacramento Kings,San Antonio Spurs
113,Charlotte Hornets,LA Clippers
113,Cleveland Cavaliers,Boston Celtics
113,Indiana Pacers,Los Angeles Lakers
113,New York Knicks,Detroit Pistons
113,Philadelphia 76ers,Toronto Raptors
113,Memphis Grizzlies,Minnesota Timberwolves
113,Oklahoma City Thunder,Orlando Magic
113,Portland Trail Blazers,Miami Heat
114,Brooklyn Nets,Denver Nuggets
114,Chicago Bulls,New Orleans Pelicans
114,Milwaukee Bucks,Washington Wizards
114,Dallas Mavericks,Charlotte Hornets
114,Utah Jazz,Phoenix Suns
114,Sacramento Kings,Houston Rockets
114,Golden State Warriors,San Antonio Spurs
115,Indiana Pacers,LA Clippers
115,Orlando Magic,Minnesota Timberwolves
115,Atlanta Hawks,Toronto Raptors
115,Boston Celtics,Los Angeles Lakers
115,Oklahoma City Thunder,Memphis Grizzlies
115,Portland Trail Blazers,San Antonio Spurs
116,Detroit Pistons,New York Knicks
116,Philadelphia 76ers,Denver Nuggets
116,Washington Wizards,Cleveland Cavaliers
116,Brooklyn Nets,Chicago Bulls
116,Dallas Mavericks,Milwaukee Bucks
116,Phoenix Suns,Golden State Warriors
116,New Orleans Pelicans,Minnesota Timberwolves
116,Sacramento Kings,Miami Heat
117,Utah Jazz,San Antonio Spurs
117,Indiana Pacers,Cleveland Cavaliers
117,Atlanta Hawks,Charlotte Hornets
117,New York Knicks,Toronto Raptors
117,Boston Celtics,LA Clippers
117,Chicago Bulls,Washington Wizards
117,Memphis Grizzlies,New Orleans Pelicans
117,Houston Rockets,Oklahoma City Thunder
117,Milwaukee Bucks,Orlando Magic
118,Dallas Mavericks,Portland Trail Blazers
118,Philadelphia 76ers,Los Angeles Lakers
118,Sacramento Kings,Phoenix Suns
118,Atlanta Hawks,Orlando Magic
118,Golden State Warriors,Miami Heat
119,Cleveland Cavaliers,New York Knicks
119,Detroit Pistons,Washington Wizards
119,Indiana Pacers,Charlotte Hornets
119,Toronto Raptors,Brooklyn Nets
119,Chicago Bulls,Milwaukee Bucks
119,Houston Rockets,Dallas Mavericks
119,Minnesota Timberwolves,LA Clippers
119,Oklahoma City Thunder,Portland Trail Blazers
119,Denver Nuggets,Miami Heat
120,Atlanta Hawks,Los Angeles Lakers
120,Philadelphia 76ers,Boston Celtics
120,Memphis Grizzlies,San Antonio Spurs
120,New Orleans Pelicans,Orlando Magic
120,Golden State Warriors,Utah Jazz
121,Cleveland Cavaliers,Brooklyn Nets
121,Indiana Pacers,Milwaukee Bucks
121,Boston Celtics,Detroit Pistons
121,New York Knicks,Philadelphia 76ers
121,Toronto Raptors,Washington Wizards
121,Chicago Bulls,Memphis Grizzlies
121,Minnesota Timberwolves,Houston Rockets
121,Dallas Mavericks,Miami Heat
121,Denver Nuggets,Sacramento Kings
121,Portland Trail Blazers,Golden State Warriors
121,LA Clippers,Phoenix Suns
122,Orlando Magic,Charlotte Hornets
122,Atlanta Hawks,New York Knicks
122,New Orleans Pelicans,Oklahoma City Thunder
129,Cleveland Cavaliers,Phoenix Suns
129,Philadelphia 76ers,Miami Heat
129,Brooklyn Nets,Portland Trail Blazers
129,Milwaukee Bucks,Boston Celtics
129,Golden State Warriors,Sacramento Kings
129,Los Angeles Lakers,Houston Rockets
130,Charlotte Hornets,Washington Wizards
130,Indiana Pacers,New Orleans Pelicans
130,Orlando Magic,Chicago Bulls
130,Toronto Raptors,San Antonio Spurs
130,Atlanta Hawks,Detroit Pistons
130,New York Knicks,Minnesota Timberwolves
130,Memphis Grizzlies,LA Clippers
130,Dallas Mavericks,Denver Nuggets
130,Oklahoma City Thunder,Utah Jazz
131,Philadelphia 76ers,Portland Trail Blazers
131,Atlanta Hawks,Phoenix Suns
131,Charlotte Hornets,Brooklyn Nets
131,Cleveland Cavaliers,Memphis Grizzlies
131,Washington Wizards,Indiana Pacers
131,New Orleans Pelicans,Los Angeles Lakers
131,Miami Heat,Detroit Pistons
131,Chicago Bulls,Boston Celtics
131,Oklahoma City Thunder,Sacramento Kings
131,Milwaukee Bucks,Minnesota Timberwolves
131,Golden State Warriors,Houston Rockets
131,Utah Jazz,Dallas Mavericks
132,Toronto Raptors,Orlando Magic
132,Denver Nuggets,LA Clippers
132,New York Knicks,San Antonio Spurs
133,Charlotte Hornets,Golden State Warriors
133,Cleveland Cavaliers,Portland Trail Blazers
133,Detroit Pistons,Indiana Pacers
133,Brooklyn Nets,San Antonio Spurs
133,Miami Heat,Phoenix Suns
133,Chicago Bulls,Milwaukee Bucks
133,Houston Rockets,Atlanta Hawks
133,Memphis Grizzlies,Los Angeles Lakers
133,Minnesota Timberwolves,Sacramento Kings
133,New Orleans Pelicans,Philadelphia 76ers
133,LA Clippers,Dallas Mavericks
134,New York Knicks,Orlando Magic
134,Toronto Raptors,Boston Celtics
134,Denver Nuggets,Oklahoma City Thunder
135,Charlotte Hornets,Houston Rockets
135,Atlanta Hawks,Minnesota Timberwolves
135,Brooklyn Nets,Washington Wizards
135,Miami Heat,Golden State Warriors
135,Boston Celtics,Portland Trail Blazers
135,Memphis Grizzlies,Chicago Bulls
135,San Antonio Spurs,Detroit Pistons
135,Dallas Mavericks,Indiana Pacers
135,Utah Jazz,LA Clippers
135,Sacramento Kings,Milwaukee Bucks
135,Los Angeles Lakers,New Orleans Pelicans
136,Indiana Pacers,Minnesota Timberwolves
136,Orlando Magic,Golden State Warriors
136,New York Knicks,Cleveland Cavaliers
136,Houston Rockets,Miami Heat
136,Oklahoma City Thunder,Philadelphia 76ers
136,Denver Nuggets,Utah Jazz
137,Atlanta Hawks,Chicago Bulls
137,Brooklyn Nets,Charlotte Hornets
137,Toronto Raptors,Portland Trail Blazers
137,Boston Celtics,Washington Wizards
137,Phoenix Suns,New Orleans Pelicans
137,Sacramento Kings,LA Clippers
137,Los Angeles Lakers,Milwaukee Bucks
138,Cleveland Cavaliers,Detroit Pistons
138,Indiana Pacers,Orlando Magic
138,Miami Heat,Brooklyn Nets
138,Philadelphia 76ers,Golden State Warriors
138,Dallas Mavericks,Memphis Grizzlies
138,San Antonio Spurs,Oklahoma City Thunder
138,Denver Nuggets,New Orleans Pelicans
138,Phoenix Suns,Los Angeles Lakers
138,Utah Jazz,Milwaukee Bucks
139,Charlotte Hornets,Portland Trail Blazers
139,Boston Celtics,Houston Rockets
139,Chicago Bulls,Atlanta Hawks
139,LA Clippers,New York Knicks
139,Cleveland Cavaliers,Orlando Magic
139,Detroit Pistons,Toronto Raptors
139,Washington Wizards,Minnesota Timberwolves
139,Oklahoma City Thunder,Memphis Grizzlies
140,Brooklyn Nets,Dallas Mavericks
140,Miami Heat,Atlanta Hawks
140,San Antonio Spurs,Denver Nuggets
140,Phoenix Suns,Milwaukee Bucks
140,Utah Jazz,New Orleans Pelicans
140,Sacramento Kings,New York Knicks
140,Los Angeles Lakers,LA Clippers
141,Indiana Pacers,Chicago Bulls
141,Philadelphia 76ers,Orlando Magic
141,Toronto Raptors,Houston Rockets
141,Memphis Grizzlies,Portland Trail Blazers
141,Minnesota Timberwolves,Oklahoma City Thunder
141,Golden State Warriors,Boston Celtics
142,Charlotte Hornets,Miami Heat
142,Detroit Pistons,Minnesota Timberwolves
142,Washington Wizards,Dallas Mavericks
142,Atlanta Hawks,San Antonio Spurs
142,Brooklyn Nets,Cleveland Cavaliers
142,Chicago Bulls,Philadelphia 76ers
142,New Orleans Pelicans,Utah Jazz
142,Phoenix Suns,New York Knicks
142,Sacramento Kings,Boston Celtics
142,Los Angeles Lakers,Denver Nuggets
143,Milwaukee Bucks,Indiana Pacers
143,Portland Trail Blazers,Oklahoma City Thunder
144,Charlotte Hornets,Washington Wizards
144,Orlando Magic,Dallas Mavericks
144,Miami Heat,Cleveland Cavaliers
144,Chicago Bulls,Detroit Pistons
144,Houston Rockets,Philadelphia 76ers
144,Memphis Grizzlies,Utah Jazz
144,New Orleans Pelicans,Toronto Raptors
144,Golden State Warriors,Denver Nuggets
144,LA Clippers,Oklahoma City Thunder
145,New York Knicks,Sacramento Kings
145,Atlanta Hawks,Brooklyn Nets
145,Minnesota Timberwolves,Washington Wizards
145,Los Angeles Lakers,Boston Celtics
145,Milwaukee Bucks,Charlotte Hornets
145,Portland Trail Blazers,Phoenix Suns
146,Detroit Pistons,Chicago Bulls
146,Miami Heat,Toronto Raptors
146,Philadelphia 76ers,Indiana Pacers
146,Atlanta Hawks,New Orleans Pelicans
146,Memphis Grizzlies,Orlando Magic
146,Dallas Mavericks,Houston Rockets
146,Minnesota Timberwolves,New York Knicks
146,San Antonio Spurs,Milwaukee Bucks
146,Golden State Warriors,Phoenix Suns
147,Cleveland Cavaliers,Toronto Raptors
147,Washington Wizards,Sacramento Kings
147,Brooklyn Nets,Detroit Pistons
147,Houston Rockets,Charlotte Hornets
147,Utah Jazz,Oklahoma City Thunder
147,LA Clippers,Boston Celtics
148,Indiana Pacers,New York Knicks
148,Philadelphia 76ers,Cleveland Cavaliers
148,Chicago Bulls,Los Angeles Lakers
148,New Orleans Pelicans,Milwaukee Bucks
148,Dallas Mavericks,San Antonio Spurs
148,Denver Nuggets,Minnesota Timberwolves
148,LA Clippers,Portland Trail Blazers
149,Washington Wizards,Orlando Magic
149,Oklahoma City Thunder,Brooklyn Nets
149,Miami Heat,Detroit Pistons
149,Atlanta Hawks,Memphis Grizzlies
149,Houston Rockets,Golden State Warriors
149,Phoenix Suns,Utah Jazz
150,Indiana Pacers,Oklahoma City Thunder
150,Orlando Magic,Cleveland Cavaliers
150,Boston Celtics,Sacramento Kings
150,Toronto Raptors,Los Angeles Lakers
150,Utah Jazz,Minnesota Timberwolves
150,Denver Nuggets,Dallas Mavericks
151,Detroit Pistons,Los Angeles Lakers
151,Philadelphia 76ers,Sacramento Kings
151,Washington Wizards,Charlotte Hornets
151,Miami Heat,Milwaukee Bucks
151,Houston Rockets,Phoenix Suns
151,New Orleans Pelicans,Portland Trail Blazers
151,San Antonio Spurs,New York Knicks
151,LA Clippers,Chicago Bulls
152,Boston Celtics,Atlanta Hawks
152,Washington Wizards,Memphis Grizzlies
152,New Orleans Pelicans,Phoenix Suns
152,Dallas Mavericks,Cleveland Cavaliers
152,Oklahoma City Thunder,Golden State Warriors
152,San Antonio Spurs,Portland Trail Blazers
152,Denver Nuggets,Indiana Pacers
152,Utah Jazz,Brooklyn Nets
153,New York Knicks,Los Angeles Lakers
153,Miami Heat,Charlotte Hornets
153,Milwaukee Bucks,Philadelphia 76ers
153,Detroit Pistons,Toronto Raptors
153,Orlando Magic,Atlanta Hawks
153,Sacramento Kings,Chicago Bulls
153,Houston Rockets,Minnesota Timberwolves
153,LA Clippers,Brooklyn Nets
154,Cleveland Cavaliers,Detroit Pistons
154,Washington Wizards,Utah Jazz
154,Boston Celtics,Denver Nuggets
154,Toronto Raptors,New York Knicks
154,Oklahoma City Thunder,Miami Heat
154,San Antonio Spurs,Golden State Warriors
154,Dallas Mavericks,New Orleans Pelicans
154,Phoenix Suns,Chicago Bulls
154,Portland Trail Blazers,Indiana Pacers
155,Charlotte Hornets,Philadelphia 76ers
155,Atlanta Hawks,Houston Rockets
155,Milwaukee Bucks,Los Angeles Lakers
155,Minnesota Timberwolves,Golden State Warriors
155,Sacramento Kings,Brooklyn Nets
155,LA Clippers,Indiana Pacers
156,Cleveland Cavaliers,Milwaukee Bucks
156,Orlando Magic,New Orleans Pelicans
156,Philadelphia 76ers,Boston Celtics
156,New York Knicks,Utah Jazz
156,Chicago Bulls,Washington Wizards
156,Memphis Grizzlies,Houston Rockets
156,San Antonio Spurs,Miami Heat
156,Oklahoma City Thunder,Toronto Raptors
156,Portland Trail Blazers,Dallas Mavericks
157,Charlotte Hornets,Minnesota Timberwolves
157,Washington Wizards,Denver Nuggets
157,Atlanta Hawks,Utah Jazz
157,Phoenix Suns,Detroit Pistons
157,Sacramento Kings,Dallas Mavericks
157,Golden State Warriors,Indiana Pacers
158,Orlando Magic,Memphis Grizzlies
158,Cleveland Cavaliers,LA Clippers
158,New York Knicks,Denver Nuggets
158,Toronto Raptors,Oklahoma City Thunder
158,Houston Rockets,San Antonio Spurs
158,Milwaukee Bucks,Miami Heat
158,Los Angeles Lakers,Brooklyn Nets
159,Charlotte Hornets,Boston Celtics
159,Washington Wizards,Miami Heat
159,Atlanta Hawks,Philadelphia 76ers
159,Chicago Bulls,Utah Jazz
159,Memphis Grizzlies,Minnesota Timberwolves
159,Golden State Warriors,Dallas Mavericks
159,Portland Trail Blazers,Detroit Pistons
159,Sacramento Kings,Phoenix Suns
160,New York Knicks,LA Clippers
160,Milwaukee Bucks,Cleveland Cavaliers
160,Indiana Pacers,Denver Nuggets
160,Toronto Raptors,Charlotte Hornets
160,New Orleans Pelicans,Houston Rockets
160,Boston Celtics,San Antonio Spurs
160,Golden State Warriors,Detroit Pistons
160,Los Angeles Lakers,Sacramento Kings
161,Orlando Magic,Philadelphia 76ers
161,Memphis Grizzlies,Oklahoma City Thunder
161,Utah Jazz,Phoenix Suns
161,Portland Trail Blazers,Brooklyn Nets
162,Charlotte Hornets,San Antonio Spurs
162,Cleveland Cavaliers,Boston Celtics
162,Miami Heat,Orlando Magic
162,Toronto Raptors,Chicago Bulls
162,Milwaukee Bucks,Houston Rockets
162,Minnesota Timberwolves,LA Clippers
162,New Orleans Pelicans,Atlanta Hawks
162,Dallas Mavericks,Sacramento Kings
162,Denver Nuggets,Detroit Pistons
162,Los Angeles Lakers,Washington Wizards
163,Chicago Bulls,Portland Trail Blazers
163,Memphis Grizzlies,Golden State Warriors
163,Oklahoma City Thunder,Indiana Pacers
163,Phoenix Suns,Washington Wizards
163,Utah Jazz,Los Angeles Lakers
164,Detroit Pistons,Orlando Magic
164,Philadelphia 76ers,Brooklyn Nets
164,Miami Heat,Dallas Mavericks
164,New York Knicks,Toronto Raptors
164,Houston Rockets,Denver Nuggets
164,Milwaukee Bucks,LA Clippers
164,New Orleans Pelicans,Sacramento Kings
164,San Antonio Spurs,Cleveland Cavaliers
165,Boston Celtics,Indiana Pacers
165,Atlanta Hawks,Portland Trail Blazers
165,Minnesota Timberwolves,Golden State Warriors
165,Oklahoma City Thunder,Denver Nuggets
165,Utah Jazz,Washington Wizards
165,Los Angeles Lakers,Charlotte Hornets
166,LA Clippers,Cleveland Cavaliers
166,Brooklyn Nets,Boston Celtics
166,Houston Rockets,Sacramento Kings
166,Detroit Pistons,Portland Trail Blazers
166,Indiana Pacers,Orlando Magic
166,New York Knicks,Miami Heat
166,Chicago Bulls,Toronto Raptors
166,Minnesota Timberwolves,Philadelphia 76ers
166,Phoenix Suns,Memphis Grizzlies
167,Atlanta Hawks,Milwaukee Bucks
167,Oklahoma City Thunder,Dallas Mavericks
167,New Orleans Pelicans,Los Angeles Lakers
167,San Antonio Spurs,Sacramento Kings
167,Denver Nuggets,Washington Wizards
167,Golden State Warriors,Charlotte Hornets
167,LA Clippers,Memphis Grizzlies
168,Indiana Pacers,Detroit Pistons
168,Boston Celtics,Miami Heat
168,Brooklyn Nets,Milwaukee Bucks
168,New York Knicks,Chicago Bulls
168,Toronto Raptors,Orlando Magic
168,Minnesota Timberwolves,Portland Trail Blazers
168,Dallas Mavericks,Philadelphia 76ers
168,Utah Jazz,Charlotte Hornets
168,Phoenix Suns,Cleveland Cavaliers
169,Oklahoma City Thunder,Los Angeles Lakers
169,San Antonio Spurs,Atlanta Hawks
169,Sacramento Kings,Houston Rockets
169,Golden State Warriors,Denver Nuggets
170,Detroit Pistons,Indiana Pacers
170,Orlando Magic,New York Knicks
170,Washington Wizards,Chicago Bulls
170,Atlanta Hawks,Philadelphia 76ers
170,Brooklyn Nets,Toronto Raptors
170,Miami Heat,Boston Celtics
170,New Orleans Pelicans,Charlotte Hornets
170,Dallas Mavericks,Minnesota Timberwolves
170,Denver Nuggets,San Antonio Spurs
170,Phoenix Suns,Utah Jazz
170,Portland Trail Blazers,Memphis Grizzlies
170,LA Clippers,Houston Rockets
171,Philadelphia 76ers,Milwaukee Bucks
171,Sacramento Kings,Cleveland Cavaliers
171,Los Angeles Lakers,Golden State Warriors
172,Charlotte Hornets,Toronto Raptors
172,Orlando Magic,Atlanta Hawks
172,Washington Wizards,San Antonio Spurs
172,Indiana Pacers,Boston Celtics
172,Houston Rockets,New York Knicks
172,Minnesota Timberwolves,Miami Heat
172,Oklahoma City Thunder,Detroit Pistons
172,Dallas Mavericks,Memphis Grizzlies
172,Utah Jazz,Sacramento Kings
172,Phoenix Suns,New Orleans Pelicans
172,Denver Nuggets,Portland Trail Blazers
172,Golden State Warriors,Cleveland Cavaliers
172,LA Clippers,Los Angeles Lakers
173,Milwaukee Bucks,Brooklyn Nets
173,Chicago Bulls,Philadelphia 76ers
174,Toronto Raptors,Miami Heat
174,Cleveland Cavaliers,San Antonio Spurs
174,Minnesota Timberwolves,Oklahoma City Thunder
174,Detroit Pistons,Charlotte Hornets
174,Indiana Pacers,Brooklyn Nets
174,Memphis Grizzlies,Dallas Mavericks
174,Milwaukee Bucks,Atlanta Hawks
174,Houston Rockets,Phoenix Suns
174,Boston Celtics,Orlando Magic
174,New York Knicks,Washington Wizards
174,Golden State Warriors,LA Clippers
174,Portland Trail Blazers,Denver Nuggets
174,Sacramento Kings,New Orleans Pelicans
174,Los Angeles Lakers,Utah Jazz
176,Cleveland Cavaliers,Charlotte Hornets
176,Detroit Pistons,Memphis Grizzlies
176,Washington Wizards,Boston Celtics
176,Miami Heat,Philadelphia 76ers
176,Chicago Bulls,New York Knicks
176,Minnesota Timberwolves,Toronto Raptors
176,New Orleans Pelicans,Golden State Warriors
176,Dallas Mavericks,Phoenix Suns
176,Utah Jazz,Denver Nuggets
176,Oklahoma City Thunder,Houston Rockets
176,Los Angeles Lakers,Portland Trail Blazers
177,Atlanta Hawks,Indiana Pacers
177,Brooklyn Nets,Miami Heat
177,Charlotte Hornets,Orlando Magic
177,New York Knicks,Detroit Pistons
177,Philadelphia 76ers,Chicago Bulls
177,Memphis Grizzlies,Golden State Warriors
177,Milwaukee Bucks,Oklahoma City Thunder
177,San Antonio Spurs,Dallas Mavericks
177,Denver Nuggets,Minnesota Timberwolves
177,LA Clippers,Utah Jazz
177,Portland Trail Blazers,Sacramento Kings
